Khu vực,Số người,Thu nhập,Chi tiêu,Chi ăn uống
Thành thị,1,186.0,71.2,43.7
Thành thị,1,18.0,19.2,14.7
Thành thị,1,61.5,15.0,11.9
Thành thị,1,48.1,57.9,46.9
Thành thị,1,30.0,20.6,13.7
Thành thị,1,21.2,17.6,15.8
Thành thị,2,70.9,104.3,80.1
Thành thị,2,124.8,82.3,65.3
Thành thị,2,149.1,117.8,67.9
Thành thị,2,77.8,82.0,52.3
Thành thị,2,519.7,482.7,176.0
Thành thị,2,118.7,49.4,21.3
Thành thị,2,138.0,56.8,29.5
Thành thị,2,96.0,33.0,25.7
Thành thị,2,142.0,42.6,29.9
Thành thị,2,80.0,38.7,22.4
Thành thị,2,107.5,49.9,36.7
Thành thị,2,86.0,34.4,24.1
Thành thị,2,63.4,52.2,43.0
Thành thị,2,84.4,77.1,50.2
Thành thị,2,113.0,95.1,63.2
Thành thị,2,93.2,224.2,160.4
Thành thị,2,107.5,88.4,53.8
Thành thị,2,107.4,99.7,65.2
Thành thị,2,79.9,84.0,52.0
Thành thị,2,99.6,93.7,70.8
Thành thị,2,60.3,78.4,71.6
Thành thị,2,82.6,68.5,59.2
Thành thị,3,130.8,160.1,147.1
Thành thị,3,148.0,137.3,91.8
Thành thị,3,216.6,230.2,135.3
Thành thị,3,213.5,254.7,155.4
Thành thị,3,177.8,142.3,104.5
Thành thị,3,251.2,181.3,114.2
Thành thị,3,255.8,202.7,103.9
Thành thị,3,122.3,110.7,69.0
Thành thị,3,185.7,163.1,88.0
Thành thị,3,306.0,353.4,260.6
Thành thị,3,83.8,78.3,58.8
Thành thị,3,446.2,277.5,212.6
Thành thị,3,217.8,100.6,73.0
Thành thị,3,782.5,571.2,185.2
Thành thị,3,142.6,132.1,76.2
Thành thị,3,63.0,74.6,59.1
Thành thị,3,123.1,120.0,99.0
Thành thị,3,64.5,49.6,40.4
Thành thị,3,81.7,74.0,48.8
Thành thị,3,91.0,128.4,87.6
Thành thị,3,272.0,193.0,119.1
Thành thị,3,63.1,92.4,62.8
Thành thị,3,93.2,47.4,33.9
Thành thị,3,143.2,76.0,48.2
Thành thị,3,177.1,130.5,83.9
Thành thị,3,712.0,306.7,174.4
Thành thị,3,164.0,127.4,79.6
Thành thị,3,160.6,152.5,127.6
Thành thị,3,373.0,140.1,99.7
Thành thị,3,138.2,84.6,37.0
Thành thị,3,132.2,105.3,70.5
Thành thị,3,148.3,111.2,78.7
Thành thị,3,183.9,93.7,69.1
Thành thị,3,96.4,109.4,95.6
Thành thị,3,150.1,64.0,46.8
Thành thị,3,74.1,66.4,57.5
Thành thị,3,117.5,93.5,68.4
Thành thị,3,78.0,79.8,59.8
Thành thị,3,47.2,35.3,26.4
Thành thị,3,30.9,32.1,27.6
Thành thị,3,31.4,74.0,59.4
Thành thị,4,193.9,176.9,109.8
Thành thị,4,201.4,129.0,98.0
Thành thị,4,209.5,178.3,137.8
Thành thị,4,193.2,148.0,93.3
Thành thị,4,171.6,134.3,82.8
Thành thị,4,173.0,197.8,141.1
Thành thị,4,236.2,88.0,71.7
Thành thị,4,174.5,97.4,84.3
Thành thị,4,93.0,50.3,42.2
Thành thị,4,90.0,139.0,111.3
Thành thị,4,246.5,210.2,130.5
Thành thị,4,178.6,148.4,106.0
Thành thị,4,227.8,164.8,101.9
Thành thị,4,204.6,174.5,117.3
Thành thị,4,217.9,123.3,86.6
Thành thị,4,261.0,135.1,86.1
Thành thị,4,125.8,77.1,52.1
Thành thị,4,166.6,112.9,96.2
Thành thị,4,284.0,359.1,239.7
Thành thị,4,353.1,198.2,119.4
Thành thị,4,184.8,119.2,83.9
Thành thị,4,95.1,66.2,46.3
Thành thị,4,352.9,266.4,158.4
Thành thị,4,230.6,172.2,129.6
Thành thị,4,291.5,248.1,127.1
Thành thị,4,135.9,134.9,94.0
Thành thị,4,223.0,52.5,32.6
Thành thị,4,397.2,263.5,186.1
Thành thị,4,176.0,99.1,84.3
Thành thị,4,70.0,47.0,41.4
Thành thị,4,215.0,109.9,90.3
Thành thị,4,160.8,142.2,98.5
Thành thị,4,92.3,111.6,85.2
Thành thị,4,133.6,131.8,104.4
Thành thị,4,174.6,170.8,125.8
Thành thị,4,296.4,190.4,148.7
Thành thị,4,168.5,137.9,96.9
Thành thị,4,208.6,143.9,110.8
Thành thị,4,293.0,250.7,153.2
Thành thị,4,357.1,175.3,135.0
Thành thị,4,208.6,333.3,219.0
Thành thị,4,131.0,57.7,41.6
Thành thị,4,143.3,89.9,60.5
Thành thị,4,183.2,126.6,91.3
Thành thị,4,99.8,102.4,89.8
Thành thị,4,436.5,371.7,218.5
Thành thị,4,294.7,198.8,121.8
Thành thị,4,213.2,196.1,135.8
Thành thị,4,69.5,54.9,37.6
Thành thị,4,76.6,63.1,48.6
Thành thị,4,214.2,128.8,90.5
Thành thị,4,195.1,130.1,86.3
Thành thị,4,188.7,141.7,105.7
Thành thị,4,165.2,201.4,158.6
Thành thị,4,152.0,192.1,155.2
Thành thị,4,157.0,117.7,99.6
Thành thị,4,114.9,124.0,102.2
Thành thị,4,81.8,28.5,20.1
Thành thị,4,30.3,25.5,20.7
Thành thị,4,220.4,128.9,68.8
Thành thị,4,139.0,103.9,74.6
Thành thị,5,343.0,301.0,258.1
Thành thị,5,112.6,316.3,248.5
Thành thị,5,273.1,239.8,184.2
Thành thị,5,162.5,189.9,145.3
Thành thị,5,99.0,169.3,124.6
Thành thị,5,235.3,177.1,134.6
Thành thị,5,189.7,157.6,107.9
Thành thị,5,208.9,168.6,99.6
Thành thị,5,122.3,105.3,79.0
Thành thị,5,298.6,187.1,123.7
Thành thị,5,98.3,77.8,67.3
Thành thị,5,225.9,171.1,103.1
Thành thị,5,199.4,111.6,59.8
Thành thị,5,212.0,187.0,144.7
Thành thị,5,437.2,232.8,138.7
Thành thị,5,236.5,61.9,38.6
Thành thị,5,442.9,344.4,222.1
Thành thị,5,107.4,98.9,85.4
Thành thị,5,129.0,283.5,211.4
Thành thị,5,192.8,318.9,215.8
Thành thị,5,386.5,239.1,158.8
Thành thị,5,389.8,198.7,161.2
Thành thị,5,430.2,201.9,150.3
Thành thị,5,268.0,128.4,106.8
Thành thị,5,137.1,120.6,106.3
Thành thị,5,436.1,387.7,274.2
Thành thị,5,385.0,290.1,185.6
Thành thị,5,302.8,206.7,146.2
Thành thị,5,380.9,231.2,152.8
Thành thị,5,221.0,185.7,135.3
Thành thị,5,318.0,162.6,101.8
Thành thị,5,525.0,268.3,195.4
Thành thị,5,225.0,143.8,114.6
Thành thị,5,98.9,135.6,118.9
Thành thị,5,91.5,118.6,104.1
Thành thị,5,151.5,98.6,77.8
Thành thị,6,300.0,169.1,125.4
Thành thị,6,215.8,209.9,162.1
Thành thị,6,459.1,261.4,157.9
Thành thị,6,386.2,278.1,166.6
Thành thị,6,321.4,68.8,43.6
Thành thị,6,356.1,204.4,161.4
Thành thị,6,211.7,119.1,87.4
Thành thị,6,568.8,404.4,296.4
Thành thị,6,232.8,174.6,124.6
Thành thị,6,135.7,104.8,83.1
Thành thị,6,133.5,139.9,123.4
Thành thị,6,75.1,65.6,53.5
Thành thị,7,201.0,134.6,118.4
Thành thị,7,186.0,137.0,113.3
Thành thị,8,418.2,401.2,295.9
Thành thị,9,294.4,242.6,178.2
Thành thị,9,410.5,336.5,265.6
Nông thôn,1,29.3,15.0,13.4
Nông thôn,1,55.3,30.8,23.5
Nông thôn,1,49.6,29.0,23.2
Nông thôn,1,47.3,17.2,12.1
Nông thôn,1,10.8,10.2,8.7
Nông thôn,1,14.3,11.7,9.2
Nông thôn,1,5.5,4.4,3.5
Nông thôn,1,25.0,15.0,12.2
Nông thôn,1,28.9,17.4,14.0
Nông thôn,1,47.5,24.9,20.2
Nông thôn,1,13.4,12.5,9.3
Nông thôn,1,8.1,7.2,6.0
Nông thôn,1,6.6,5.7,4.8
Nông thôn,1,12.5,12.6,9.1
Nông thôn,1,6.3,4.2,3.5
Nông thôn,1,9.0,29.0,25.5
Nông thôn,2,61.3,49.4,32.8
Nông thôn,2,27.8,42.4,28.4
Nông thôn,2,67.0,43.9,26.6
Nông thôn,2,59.6,38.2,26.9
Nông thôn,2,140.2,93.3,68.9
Nông thôn,2,138.3,94.7,52.6
Nông thôn,2,111.3,73.1,41.3
Nông thôn,2,123.5,138.7,105.2
Nông thôn,2,87.6,65.3,47.9
Nông thôn,2,40.4,36.1,30.0
Nông thôn,2,47.5,42.1,34.2
Nông thôn,2,12.6,25.6,22.3
Nông thôn,2,45.2,59.8,47.6
Nông thôn,2,74.0,44.0,37.9
Nông thôn,2,41.6,52.5,34.1
Nông thôn,2,99.6,76.7,50.7
Nông thôn,2,57.8,36.1,30.7
Nông thôn,2,54.0,67.4,42.0
Nông thôn,2,41.4,53.8,33.3
Nông thôn,2,48.0,56.2,42.9
Nông thôn,2,62.9,86.9,68.8
Nông thôn,2,13.1,10.9,10.0
Nông thôn,2,17.6,15.7,12.3
Nông thôn,2,36.3,60.3,35.7
Nông thôn,2,63.4,39.6,29.4
Nông thôn,2,62.9,38.5,32.8
Nông thôn,2,24.0,18.7,13.3
Nông thôn,2,129.9,81.4,27.4
Nông thôn,2,17.0,17.8,13.2
Nông thôn,2,12.5,15.5,13.1
Nông thôn,2,26.6,24.6,18.4
Nông thôn,2,11.4,20.6,13.4
Nông thôn,3,164.9,67.0,46.3
Nông thôn,3,95.0,41.2,27.3
Nông thôn,3,55.6,49.6,35.9
Nông thôn,3,42.2,45.0,36.1
Nông thôn,3,159.9,140.3,112.3
Nông thôn,3,126.9,76.5,59.5
Nông thôn,3,98.9,57.7,44.6
Nông thôn,3,101.0,83.6,67.2
Nông thôn,3,90.6,72.9,55.2
Nông thôn,3,39.7,28.9,25.4
Nông thôn,3,39.8,18.5,12.7
Nông thôn,3,38.6,67.9,53.8
Nông thôn,3,42.3,30.0,22.9
Nông thôn,3,52.5,30.6,28.2
Nông thôn,3,54.8,49.1,34.0
Nông thôn,3,33.0,32.8,26.1
Nông thôn,3,37.3,35.9,33.2
Nông thôn,3,96.6,68.0,56.6
Nông thôn,3,91.0,63.9,52.6
Nông thôn,3,110.9,61.8,47.4
Nông thôn,3,72.8,107.5,80.5
Nông thôn,3,41.2,25.6,20.8
Nông thôn,3,49.4,64.2,49.9
Nông thôn,3,70.8,47.0,30.6
Nông thôn,3,32.2,50.0,36.5
Nông thôn,3,51.6,31.2,24.6
Nông thôn,3,17.5,32.9,26.7
Nông thôn,3,103.0,64.5,51.1
Nông thôn,3,57.8,50.1,41.9
Nông thôn,3,47.4,43.8,31.9
Nông thôn,3,107.8,68.9,55.1
Nông thôn,3,78.9,59.0,42.0
Nông thôn,3,44.8,43.2,30.2
Nông thôn,3,36.8,48.4,32.8
Nông thôn,3,27.3,14.8,11.7
Nông thôn,3,67.0,43.8,34.6
Nông thôn,3,100.2,56.1,45.7
Nông thôn,4,272.3,53.0,39.2
Nông thôn,4,68.6,77.0,59.4
Nông thôn,4,109.0,79.5,56.5
Nông thôn,4,132.3,55.9,36.8
Nông thôn,4,73.2,56.4,40.3
Nông thôn,4,52.2,48.6,29.1
Nông thôn,4,66.2,58.2,44.9
Nông thôn,4,111.9,86.1,64.8
Nông thôn,4,89.0,66.2,50.1
Nông thôn,4,52.6,52.2,41.8
Nông thôn,4,143.3,76.9,58.9
Nông thôn,4,81.9,64.1,46.6
Nông thôn,4,81.8,62.0,50.2
Nông thôn,4,93.5,65.2,45.7
Nông thôn,4,248.7,115.0,72.6
Nông thôn,4,91.3,97.6,78.4
Nông thôn,4,119.2,105.0,84.8
Nông thôn,4,96.9,91.1,74.5
Nông thôn,4,161.5,97.9,73.3
Nông thôn,4,233.6,108.9,92.2
Nông thôn,4,112.9,102.3,78.4
Nông thôn,4,97.6,83.0,67.9
Nông thôn,4,148.6,120.2,90.1
Nông thôn,4,200.9,136.4,99.4
Nông thôn,4,172.0,126.3,96.9
Nông thôn,4,83.3,63.1,51.7
Nông thôn,4,114.8,110.2,95.6
Nông thôn,4,71.3,65.6,59.0
Nông thôn,4,25.2,33.9,26.7
Nông thôn,4,32.4,51.0,44.7
Nông thôn,4,108.6,62.6,54.8
Nông thôn,4,79.8,52.4,43.5
Nông thôn,4,74.5,92.7,80.2
Nông thôn,4,173.5,120.0,83.6
Nông thôn,4,54.3,56.5,48.0
Nông thôn,4,90.8,37.8,31.7
Nông thôn,4,69.3,63.5,44.6
Nông thôn,4,98.1,76.7,57.0
Nông thôn,4,105.0,93.1,74.1
Nông thôn,4,50.5,49.2,38.4
Nông thôn,4,49.8,63.8,53.1
Nông thôn,4,65.1,99.6,87.4
Nông thôn,4,56.7,64.1,49.7
Nông thôn,4,117.6,91.1,77.1
Nông thôn,4,69.5,92.0,77.3
Nông thôn,4,94.1,74.4,53.7
Nông thôn,4,130.0,44.2,33.5
Nông thôn,4,50.9,31.7,26.2
Nông thôn,4,173.3,89.0,78.7
Nông thôn,4,29.2,26.0,20.0
Nông thôn,4,62.4,53.2,44.2
Nông thôn,4,420.2,114.0,80.2
Nông thôn,4,31.3,27.3,20.6
Nông thôn,4,27.6,29.7,24.7
Nông thôn,4,65.6,50.1,39.4
Nông thôn,4,35.9,36.5,32.2
Nông thôn,4,111.7,50.0,36.9
Nông thôn,4,113.3,51.2,34.1
Nông thôn,4,161.5,167.9,150.3
Nông thôn,4,105.0,52.5,40.7
Nông thôn,4,144.9,64.7,49.9
Nông thôn,4,143.9,84.3,56.6
Nông thôn,4,204.3,107.8,93.6
Nông thôn,4,99.7,51.3,42.1
Nông thôn,4,109.4,44.3,37.0
Nông thôn,4,58.1,45.3,36.8
Nông thôn,4,96.1,79.1,55.3
Nông thôn,4,71.5,66.7,52.5
Nông thôn,4,88.3,59.7,45.4
Nông thôn,4,82.1,37.0,30.8
Nông thôn,4,96.2,54.1,34.8
Nông thôn,4,59.5,55.8,43.5
Nông thôn,4,63.5,74.9,53.7
Nông thôn,4,73.4,44.8,36.8
Nông thôn,4,93.5,37.7,25.7
Nông thôn,4,29.7,77.1,58.4
Nông thôn,4,24.4,57.2,47.7
Nông thôn,4,89.9,77.0,62.1
Nông thôn,5,215.8,69.2,51.6
Nông thôn,5,100.6,63.8,47.5
Nông thôn,5,92.8,101.5,88.2
Nông thôn,5,210.2,88.9,58.4
Nông thôn,5,89.1,71.0,53.2
Nông thôn,5,162.4,129.1,108.0
Nông thôn,5,126.3,84.8,59.5
Nông thôn,5,158.2,110.2,76.0
Nông thôn,5,221.7,143.6,99.3
Nông thôn,5,112.0,81.6,67.0
Nông thôn,5,61.1,59.4,47.9
Nông thôn,5,89.3,75.3,58.0
Nông thôn,5,52.3,54.7,46.8
Nông thôn,5,66.2,60.8,43.2
Nông thôn,5,104.7,29.6,22.1
Nông thôn,5,53.3,43.3,37.5
Nông thôn,5,71.3,48.0,36.8
Nông thôn,5,127.1,81.7,72.1
Nông thôn,5,170.8,68.2,50.3
Nông thôn,5,73.0,122.2,94.3
Nông thôn,5,135.5,44.3,35.7
Nông thôn,5,54.9,39.8,32.1
Nông thôn,5,115.5,41.0,32.6
Nông thôn,5,66.5,32.1,27.0
Nông thôn,5,134.3,78.4,68.5
Nông thôn,5,150.8,106.6,93.6
Nông thôn,5,106.4,53.4,42.0
Nông thôn,5,64.6,64.2,53.3
Nông thôn,5,222.0,53.7,36.6
Nông thôn,5,193.0,82.7,58.9
Nông thôn,5,50.8,42.8,33.5
Nông thôn,5,181.9,172.1,153.9
Nông thôn,5,224.7,158.3,139.8
Nông thôn,5,146.8,55.7,44.3
Nông thôn,5,64.0,51.1,41.6
Nông thôn,5,68.5,49.3,40.2
Nông thôn,5,438.1,217.8,187.8
Nông thôn,5,87.5,96.8,81.8
Nông thôn,6,100.7,66.4,57.8
Nông thôn,6,109.5,94.7,69.0
Nông thôn,6,197.0,100.0,75.1
Nông thôn,6,122.4,81.3,60.4
Nông thôn,6,93.6,84.7,69.9
Nông thôn,6,218.5,132.4,110.9
Nông thôn,6,126.6,80.2,68.7
Nông thôn,6,70.5,75.8,62.6
Nông thôn,6,163.6,94.0,78.1
Nông thôn,6,108.3,70.6,52.7
Nông thôn,6,183.3,112.4,83.3
Nông thôn,6,184.3,107.2,88.0
Nông thôn,6,125.5,65.7,53.7
Nông thôn,6,154.0,46.2,38.8
Nông thôn,6,60.4,47.8,37.2
Nông thôn,6,84.9,33.7,25.4
Nông thôn,6,114.2,89.4,73.2
Nông thôn,6,59.4,43.9,33.9
Nông thôn,6,106.1,49.9,40.4
Nông thôn,6,262.8,124.5,89.1
Nông thôn,6,125.4,104.2,76.8
Nông thôn,7,129.9,144.4,126.1
Nông thôn,7,184.4,98.8,78.9
Nông thôn,7,97.5,106.2,81.2
Nông thôn,7,287.0,200.7,164.9
Nông thôn,7,448.5,151.6,126.9
Nông thôn,7,132.1,126.9,108.5
Nông thôn,7,228.6,126.8,106.8
Nông thôn,7,235.2,138.8,112.7
Nông thôn,7,95.3,66.4,49.4
Nông thôn,7,132.6,83.3,64.0
Nông thôn,8,153.4,104.1,84.8
Nông thôn,8,348.5,167.3,100.2
Nông thôn,8,220.6,106.9,80.6
Nông thôn,9,232.1,173.0,126.6
Nông thôn,9,137.6,167.1,155.2
